BEGINCOLETA,40,A1,0,0,2019-05-22T10:16:16.419Z,
device,n_scan,mac,reqID,time,id_coleta,len,first_word_invalid,noise_floor,rssi,rate,sig_mode,cwb,stbc,channel,secondary_channel,rx_state
#FRENTE,0,48F8B3C3BB6B,A1,44583,0,256,1,-92,-68,11,1,0,0,9,0,0,

#FRENTE,3,48F8B3C3BB6B,A1,51447,0,256,1,-94,-66,11,1,0,0,9,0,0,

126,97,23,0,23,-9,22,-10,22,-10,21,-11,20,-12,19,-13,18,-15,17,-16,15,-17,14,-18,13,-19,12,-20,11,-22,9,-24,9,-25,9,-26,11,-27,13,-28,15,-27,16,-24,17,-21,16,-18,15,-17,16,-17,18,-15,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,5,-10,6,-9,6,-9,8,-9,9,-9,11,-8,13,-7,14,-5,14,-3,13,-2,13,-1,13,-1,12,-1,12,-1,12,-1,13,-1,13,-2,14,-3,15,-3,15,-4,16,-5,17,-6,18,-7,20,-7,22,-8,23,-9,15,-4,48,-14,46,-14,45,-15,44,-16,42,-18,41,-20,39,-22,37,-24,35,-27,32,-29,30,-32,27,-34,26,-37,24,-40,22,-43,21,-47,22,-49,25,-50,29,-50,33,-47,35,-43,35,-37,33,-33,33,-30,34,-27,36,-22,42,-6,45,4,8,1,2,1,-1,0,0,0,-1,0,-1,-2,-1,-4,1,-21,5,-20,10,-18,13,-17,15,-15,17,-15,20,-14,23,-12,26,-10,27,-6,27,-3,26,-1,25,0,25,1,24,1,24,0,24,0,25,-1,26,-2,27,-3,28,-4,30,-6,32,-7,34,-9,36,-10,39,-12,41,-13,43,-15,

#FRENTE,4,48F8B3C3BB6B,A1,53583,0,256,1,-94,-65,11,1,0,0,9,0,0,

126,97,23,0,24,3,24,3,24,3,23,2,23,1,23,-1,22,-3,22,-4,21,-6,20,-7,20,-9,19,-10,19,-12,19,-14,20,-15,20,-16,21,-17,23,-16,24,-14,24,-12,23,-9,21,-7,20,-5,19,-4,20,-3,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,8,-6,8,-5,9,-4,11,-4,12,-3,13,-2,14,0,14,2,13,3,12,5,11,5,11,6,11,5,10,5,11,5,11,5,11,4,12,4,13,4,15,4,16,4,17,4,18,4,19,4,21,5,22,5,14,2,47,7,46,7,45,6,45,5,44,3,44,0,43,-3,42,-6,41,-8,40,-11,39,-14,38,-18,37,-21,36,-25,36,-28,37,-31,38,-32,41,-33,44,-31,46,-28,46,-23,44,-19,41,-15,39,-12,38,-9,38,-5,37,7,35,15,6,3,1,1,-1,0,-1,0,-1,0,-1,-2,1,-4,7,-18,11,-16,16,-13,17,-10,19,-9,20,-7,23,-6,25,-3,26,1,26,4,25,7,23,9,22,11,21,11,20,10,20,10,21,10,22,9,23,8,25,8,26,8,28,7,31,7,33,7,36,7,39,7,41,6,43,6,

#FRENTE,5,48F8B3C3BB6B,A1,56292,0,256,1,-94,-68,11,1,0,0,9,0,0,

